review,sentiment
sangat kren,5
sangat membantu untuk informasi,5
tiba tiba ditangguhkan anjir padahal masih akun baru,1
"cm liat liat medsos aja tau tau di tangguhkan kan macam apa ini , pelanggarannya apa , komen kagak , hapus aja",1
good,5
gbs login,1
suka,5
pokoke genah,5
"X sering banget bikin akunku logout sendiri terus pas mau login ulang tiba-tiba keblokir dan nggak bisa masuk. Padahal akunku juga bukan akun aneh-aneh, cuma buat belajar. Tolong diperbaiki ya!",1
jelek bgt,1
kalo muter video suka ga bisa aneh,1
asli gua cuma penasaran ama berita si buna teddy emng deh ni apk mantep bet infonya,5
Kok saya ga bisa liat komentar orang lain? Terus pas aku perbaikin di pengaturan tetep gabisa,1
"Medsos terbaik untuk saat ini. Namun, ada bug yang membuat pengguna terjebak dalam fitur posting, males banget harus relog..",5
"sering ngebug dan gak bisa di buka ,,Elon musk kebanyakan ngurusin roket",1
"kenapa gak bisa login, katanya cek update terbaru padahal udah update terbaru. sejak jadi X Twitter jadi gak asyik",1
tidak bisa didonlot ulang,1
jelek,1
good,5
apk keren,5
untuk developer tolong lah gratiskan aja fitur download video ya,1
oke,5
saya TDK bisa masuk,1
pls ya gue muak bgt mengautentasikan segala mna gbsa gw gangerti anjj!!,1
bgus,3
"udah 3 hari tidak bisa main x, katanya internet tidak ada, padahal Wi-Fi lancar.",1
kog ngebug,5
mantab,5
bagus sekali,5
apk ga bisa di pake,1
nice apkl,5
Super Lemot Loading Terus,1
saya sangat puas dengan aplikasi yg saya temui ini dan saya sangat bangga mempunyai aplikasi ini 👍👍👍,1
lumayan bagus,4
loginnya susah,2
keren,5
👍🏻,4
mntap,1
banding tidak pernah diterima akun sering di tangguhkan tanpa alasan yang jelas,1
...👍,5
bagus bngt,5
Sering blokir akun parah x sekarang,1
terlalu sensitif twitter x,2
apk tolol gabisa di buka udah buat akun tapi malah kesalahan teknis Mulu,1
jadi kebanyakan iklan makin buruk lama lama ni x,1
Komentar di postingan orang hanya sedikit yang muncul. Padahal yang komentar ada ribuan. Bug atau memang disengaja?,1
excellent,5
tingkatkan lagi,5
"platform gajelas, akun gw ditangguhkan atas pelanggaran barang palsu. padahal gw sama sekali gapernah promo barang apapun, isi tweet gw cuma bola. diajukan banding responnya gajelas, aneh ni playltform",1
saya kecewa tidak bisa membuka konten sensitif hp saya redmi a3,1
App bagus dan bermanfaat,5
bagus,5
mantap,5
gabisa hidup tanpa X 😹👈🏻,5
ok bagus,5
keren,5
kebanyakan lag ga jelaas,5
mantap pak nya semua nya bisa diliat dr twit,5
mantap 👍,5
karena banyak yang tak paham,4
best best best,5
black screen,1
"sejak twiter ganti jd X kirain makin canggih ga taunya makin kacau aplikasi ini, tiba2 akun keluar sendiri tiap login kendala teknis terus sampe sekarang ga bisa buka2, parah parah",2
Very good...,5
"bagusss cuma ada dikit problem dikit,,, doang ko",3
Saya baru saja melakukan perpanjangan X premium tapi baru 4 hari premium saya hilang. Mohon untuk kembalikan akun premium saya,1
ok,5
Bagus banget...,5
aplikasi yang bagus 🤩,5
bagus banget,5
bagus,5
"minta instal ulang, padahal sudah update",1
masih tetap ok,5
ok,5
mantap,4
saya beri 4 dulu,4
ada kesalahan teknis dari pagi sampai malam belum juga bisa,1
"semenjak diakusisi x, malah makin hari makin muak dikit dikit update",1
bagus info update,5
twitter>>>>>>,1
"Susah masuk, kadang mati tiba tiba 😢",1
bagus tp skrg knp GX bsa di Bka,5
mantab,5
saya harap ada fitur pemblokiran kata kunci di pencarian dan beranda.,1
keren,5
tidak bisa di ungkapkan dengan kata kata pokonya jos dan mantap,5
berbagi informasi,5
Dah bagus cuma,4
play vid lama bgg najiss,1
bagusss,5
"jujur saya kecewa berat, bagaimana ini cara mendonwload nya susah sekali, cape saya menunggu dari tadi 🗿😌",1
"banyak konten komedi/debat yg saya suka disini, tapi agak ngelag aja walau pun pakai wifi/pulsa",5
"adain lagi fitur report, muak gw tiap buka aplikasi ini pasti selalu ketemu postingan2 dari orang tolol yg terlalu percaya diri",1
"ketika saya menginstal aplikasi ini,itu terlalu lama",2
gabisa dibuka,1
Ok,2
"Benar-benar gajelas, Saya awal download tiba-tiba akun saya sudah ditanggungkan. wht u mean? saya aja baru main dan saya juga merasa tdk melakukan kesalahan. tolong lah, udah 3 tahun saya tunggu. masih aja begitu terus. ini menurut ku bintang 1 aja ga layak",1
mantap,5
banyak banget pelanggan nya,1
keren banget mantap 👍,5
bisa nonton bokep😹👍🏿,4
100👍,5
mantap,4
keren,5
"akun saya di tangguhkan, giliran di ajukan banding gaada respon",1
good,5
"semenjak update bulan lalu, akun X saya jadi sering kena pembatasan padahal saya gak melakukan apa²....",1
keren banget,5
saya sudah download 3 kali dan akun saya selalu kena band,3
loading terus tidak bisa melihat trending topic.,1
👍,4
👍♥️🙏,5
paleng bgus kapa,5
wow.mantap,3
"app bodoh, berat sekali, susah refresh, padahal jaringan lancar.",1
dijajal dlu,4
3 aja y,3
mantap.,5
"tolong dong buat login bisa dengan yang lain jangan cuma pake email, trus juga x sekarang kena limit akun dikunci dll jadinya ribet, mau login gk bisa, tolong diperbaiki lagi",1
suka aneh tiba tiba log out sndri tanpa sebab,4
"Bagus,berman maaf",5
mantap,5
di perbarui malah lemot,1
"kok gak bisa masuk, sampe akun gogle 4 gk bisa masuk",3
"kenapa tidak bisa buat akun sedangkan sinyal bagus ""kenapa tidak bisa terus"" buat apa ada aplikasi ini kalo ga bisa",1
nice eeee,5
bagus,5
good,5
oke,5
bagus q,5
mantap,5
SEJAK DI TANGAN ELON MUSK APLIKASI INI PARAH. ORANG AKU GAK NGAPA2IN DI BANNED ANEH BENER MENDING META AJA DEH HATI2 SEMUA,1
bagus,5
good,5
mantap,4
Mau up karya aja loadingnya lama ☺,1
semakin update semakin ga jelas,1
lag parah ni twiternya tolong lah di perbaiki lagi untuk masalah jaringan ini,1
Mantap buat nonton bokep,5
sangat mudah,5
"mau masuk akun suruh masukin nomor telepon mana nomor nya udah gak dipake lagi, dari pihak x juga gak ada solusi,lagi👎",1
"mantap tapi terkadang suka tiba tiba apaya, seperti notif gajelas",5
👍,5
bagus,5
sangat bagus,5
mantap,5
i like it..! ❤️‍🔥,5
Saya mau masuk dengan akun google gabisa katanya ada kesalahan teknis coba lagi nanti udh 2 minggu kek gini masih gabisa tolong ini dibantu supaya bisa masuk nanti klo udh baru kasih rating 5,1
KENAPA LEMOT TERUS SI ANJIR???,1
"saya ingin upgrade tidak punya uang, dan saya mengikuti anjuran Pi network",5
sangat bagus,5
error mulu dah,3
