review,sentiment,clean_review
kenapa tdk bisa login akun yaa??🤷🏻‍♀️,negatif,tdk login akun yaa
hilang lah semua progres,negatif,hilang progres
"Aplikasi sangat Baik, banyak Pengetahuan yang dibagikan di sini, terlebih ada Aplikasi AI (GrokAI) yang terintegrasi didalamnya sangat membantu dan bermanfaat sekali.",positif,aplikasi tahu bagi aplikasi ai grokai integrasi dalam bantu manfaat
sangat bagus dan mudah sekali,positif,bagus mudah
anjay,positif,anjay
senang,positif,senang
load nya lama sekarang.,negatif,load nya
mw log in susah dan terlalu ribet..,negatif,mw log in susah ribet
harus lebih extra konsisten dengan pengguna apl X,positif,extra konsisten guna apl x
ok siipp,positif,ok siipp
"kaga jelas cuma scroll doang akun gua di tangguhkan,komen kaga pernah debat ga pernah posting ga pernah",negatif,kaga scroll doang akun gua tangguhkankomen kaga debat ga posting ga
I love the old vers. Easy to use and have a useful features,positif,i love the old vers easy to use and have a useful features
oke...banyak bagus dan banyak Inspirasi...pokoknya mantablah👍🙂🙏,positif,okebanyak bagus inspirasipokoknya mantablah
ngelag muluu njis,negatif,ngelag muluu njis
sucks,negatif,sucks
SAYA DISUSPEND TANPA KESALAHAN ???? MAKSUDNYA GMN ?,negatif,disuspend salah maksud gmn
Nice,positif,nice
Masa sering keuar sendiri giliran mau masuk lagi susah harus nunggu dan lama sampai sekarang d akun sendiri g bisa masuk twiter d bajak g bisa d ambil lagi lucu,negatif,uar gilir masuk susah nunggu d akun g masuk twiter d bajak g d ambil lucu
lumayan,netral,lumayan
sesuai sangat bagus,positif,sesuai bagus
aplikasi bagus buat cari temen,positif,aplikasi bagus cari temen
"jelek,akun baru sih ditangguhkan...",negatif,jelekakun sih tangguh
ok,positif,ok
apk busuk,negatif,apk busuk
aplikasinya bagus banget layak dikasih bintang seribu,positif,aplikasi bagus banget layak kasih bintang ribu
"terlalu banyak acara ,ruwet yg akun salah ,pin salah padahal udah benar nih apl pusing ya saya kasih bintang 2 dulu kalau lancar tak tambain",negatif,acara ruwet yg akun salah pin salah udah nih apl pusing ya kasih bintang lancar tambain
TERLALU BANYAK IKLAN DALAM VIDEO,negatif,iklan video
trus aja update giliran bikin akun selalu ditangguhkan kocak,negatif,trus aja update gilir bikin akun tangguh kocak
sangat membantu,positif,bantu
ini aplikasi yang eror ya,negatif,aplikasi eror ya
Nggak bisa play video kalau lagi call WA,negatif,nggak play video call wa
